<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181128;044500;1.12910;1.12940;1.12897;1.12934;341
20181128;050000;1.12934;1.12945;1.12923;1.12935;250
20181128;051500;1.12935;1.12947;1.12929;1.12944;236
20181128;053000;1.12944;1.12947;1.12931;1.12941;251
20181128;054500;1.12941;1.12955;1.12922;1.12928;357
20181128;060000;1.12928;1.12936;1.12912;1.12915;256
20181128;061500;1.12919;1.12931;1.12901;1.12929;197
20181128;063000;1.12929;1.12940;1.12915;1.12938;119
20181128;064500;1.12938;1.12952;1.12936;1.12952;94
20181128;070000;1.12952;1.12967;1.12937;1.12967;202
20181128;071500;1.12967;1.12978;1.12948;1.12968;503
20181128;073000;1.12968;1.12977;1.12955;1.12964;241
20181128;074500;1.12964;1.12972;1.12928;1.12941;393
20181128;080000;1.12940;1.13003;1.12939;1.12996;468
20181128;081500;1.12996;1.13005;1.12969;1.12985;390
20181128;083000;1.12985;1.12991;1.12960;1.12968;320
20181128;084500;1.12968;1.12977;1.12956;1.12972;204
20181128;090000;1.12972;1.12985;1.12860;1.12890;800
20181128;091500;1.12892;1.12894;1.12839;1.12850;576
20181128;093000;1.12848;1.12907;1.12821;1.12846;777
20181128;094500;1.12846;1.12856;1.12761;1.12779;1080
20181128;100000;1.12779;1.12822;1.12701;1.12703;1426
20181128;101500;1.12703;1.12759;1.12667;1.12751;1260
20181128;103000;1.12748;1.12757;1.12690;1.12721;819
20181128;104500;1.12721;1.12838;1.12705;1.12836;1057
20181128;110000;1.12835;1.12861;1.12760;1.12852;1204
20181128;111500;1.12852;1.12886;1.12829;1.12860;841
20181128;113000;1.12860;1.12881;1.12738;1.12781;1129
20181128;114500;1.12781;1.12857;1.12767;1.12802;898
20181128;120000;1.12801;1.12887;1.12787;1.12855;890
20181128;121500;1.12855;1.12900;1.12829;1.12876;1099
20181128;123000;1.12876;1.12914;1.12844;1.12872;826
20181128;124500;1.12872;1.12933;1.12854;1.12916;827
20181128;130000;1.12916;1.12939;1.12895;1.12905;749
20181128;131500;1.12904;1.12906;1.12831;1.12847;942
20181128;133000;1.12846;1.12883;1.12827;1.12881;796
20181128;134500;1.12881;1.12883;1.12782;1.12790;999
20181128;140000;1.12790;1.12833;1.12790;1.12823;798
20181128;141500;1.12823;1.12861;1.12814;1.12825;773
20181128;143000;1.12826;1.12846;1.12776;1.12800;827
20181128;144500;1.12800;1.12896;1.12799;1.12876;1311
20181128;150000;1.12877;1.12884;1.12817;1.12830;768
20181128;151500;1.12829;1.12869;1.12810;1.12864;897
20181128;153000;1.12860;1.12894;1.12787;1.12852;1192
20181128;154500;1.12852;1.12915;1.12835;1.12871;984
20181128;160000;1.12871;1.12879;1.12747;1.12790;1380
20181128;161500;1.12790;1.12830;1.12755;1.12800;1080
20181128;163000;1.12800;1.12839;1.12776;1.12803;1128
20181128;164500;1.12802;1.12804;1.12680;1.12753;1348
20181128;170000;1.12755;1.12789;1.12694;1.12761;1435
20181128;171500;1.12760;1.12799;1.12716;1.12766;1039
20181128;173000;1.12768;1.12854;1.12759;1.12804;1356
20181128;174500;1.12805;1.12850;1.12731;1.12748;1714
20181128;180000;1.12748;1.12847;1.12709;1.12830;1332
20181128;181500;1.12830;1.12834;1.12772;1.12825;813
20181128;183000;1.12825;1.12858;1.12793;1.12840;718
20181128;184500;1.12840;1.12867;1.12811;1.12845;947
20181128;190000;1.12844;1.13694;1.12844;1.13547;5889
20181128;191500;1.13545;1.13633;1.13394;1.13443;2922
20181128;193000;1.13443;1.13465;1.13266;1.13340;2377
20181128;194500;1.13340;1.13501;1.13337;1.13436;2065
20181128;200000;1.13437;1.13792;1.13375;1.13713;2701
20181128;201500;1.13713;1.13875;1.13705;1.13763;2160
20181128;203000;1.13763;1.13811;1.13700;1.13723;1542
20181128;204500;1.13723;1.13864;1.13712;1.13742;1331
20181128;210000;1.13741;1.13795;1.13667;1.13794;1398
20181128;211500;1.13794;1.13848;1.13753;1.13823;932
20181128;213000;1.13823;1.13823;1.13697;1.13770;836
20181128;214500;1.13773;1.13794;1.13737;1.13752;624
20181128;220000;1.13753;1.13758;1.13707;1.13723;540
20181128;221500;1.13723;1.13732;1.13688;1.13700;468
20181128;223000;1.13700;1.13712;1.13672;1.13708;354
20181128;224500;1.13708;1.13732;1.13666;1.13691;387
20181128;230000;1.13689;1.13694;1.13669;1.13678;232
20181128;231500;1.13678;1.13695;1.13673;1.13678;179
20181128;233000;1.13678;1.13679;1.13653;1.13664;244
20181128;234500;1.13664;1.13674;1.13655;1.13659;255
20181129;000000;1.13658;1.13701;1.13597;1.13687;144
20181129;001500;1.13687;1.13690;1.13670;1.13678;127
20181129;003000;1.13677;1.13709;1.13660;1.13699;484
20181129;004500;1.13699;1.13708;1.13656;1.13674;505
20181129;010000;1.13674;1.13696;1.13671;1.13682;225
20181129;011500;1.13682;1.13689;1.13677;1.13679;58
20181129;013000;1.13679;1.13705;1.13679;1.13693;192
20181129;014500;1.13693;1.13693;1.13671;1.13671;168
20181129;020000;1.13670;1.13706;1.13648;1.13648;403
20181129;021500;1.13648;1.13659;1.13626;1.13643;314
20181129;023000;1.13643;1.13682;1.13638;1.13659;522
20181129;024500;1.13659;1.13666;1.13639;1.13662;476
20181129;030000;1.13663;1.13680;1.13655;1.13674;397
20181129;031500;1.13674;1.13696;1.13664;1.13696;345
20181129;033000;1.13696;1.13710;1.13680;1.13689;390
20181129;034500;1.13689;1.13716;1.13685;1.13695;544
20181129;040000;1.13700;1.13738;1.13686;1.13734;717
20181129;041500;1.13734;1.13738;1.13708;1.13722;386
20181129;043000;1.13722;1.13742;1.13718;1.13735;303
20181129;044500;1.13735;1.13745;1.13721;1.13732;353
20181129;050000;1.13732;1.13751;1.13721;1.13739;373
20181129;051500;1.13739;1.13781;1.13735;1.13775;358
20181129;053000;1.13775;1.13793;1.13763;1.13782;291
20181129;054500;1.13782;1.13785;1.13759;1.13773;148
20181129;060000;1.13774;1.13817;1.13760;1.13802;498
20181129;061500;1.13802;1.13857;1.13797;1.13834;425
20181129;063000;1.13834;1.13882;1.13831;1.13854;369
20181129;064500;1.13853;1.13883;1.13837;1.13857;332
20181129;070000;1.13857;1.13890;1.13855;1.13888;284
20181129;071500;1.13888;1.13918;1.13871;1.13873;357
20181129;073000;1.13873;1.13873;1.13833;1.13859;476
20181129;074500;1.13860;1.13865;1.13833;1.13859;315
20181129;080000;1.13859;1.13910;1.13839;1.13899;522
20181129;081500;1.13899;1.13899;1.13818;1.13823;448
20181129;083000;1.13823;1.13833;1.13778;1.13819;464
20181129;084500;1.13819;1.13873;1.13796;1.13803;512
20181129;090000;1.13802;1.13849;1.13743;1.13819;1043
20181129;091500;1.13819;1.13855;1.13798;1.13819;822
20181129;093000;1.13819;1.13971;1.13815;1.13900;1356
20181129;094500;1.13900;1.13923;1.13837;1.13889;1320
20181129;100000;1.13889;1.13957;1.13820;1.13939;1910
20181129;101500;1.13939;1.13971;1.13878;1.13879;1165
20181129;103000;1.13879;1.13903;1.13788;1.13791;1313
20181129;104500;1.13791;1.13809;1.13716;1.13757;1449
20181129;110000;1.13756;1.13784;1.13675;1.13694;1341
20181129;111500;1.13693;1.13733;1.13675;1.13710;1048
20181129;113000;1.13710;1.13741;1.13656;1.13669;773
20181129;114500;1.13669;1.13709;1.13647;1.13702;853
20181129;120000;1.13706;1.13754;1.13680;1.13727;869
20181129;121500;1.13726;1.13726;1.13628;1.13636;728
20181129;123000;1.13636;1.13667;1.13600;1.13604;744
20181129;124500;1.13604;1.13608;1.13503;1.13504;1025
20181129;130000;1.13504;1.13553;1.13483;1.13553;808
20181129;131500;1.13552;1.13563;1.13513;1.13519;559
20181129;133000;1.13519;1.13586;1.13509;1.13579;867
20181129;134500;1.13579;1.13681;1.13574;1.13661;941
20181129;140000;1.13661;1.13808;1.13640;1.13775;1088
20181129;141500;1.13776;1.13811;1.13745;1.13776;1006
20181129;143000;1.13776;1.13792;1.13729;1.13780;1026
20181129;144500;1.13780;1.13942;1.13768;1.13860;1417
20181129;150000;1.13860;1.13922;1.13844;1.13874;1075
20181129;151500;1.13873;1.13929;1.13855;1.13890;1186
20181129;153000;1.13890;1.14013;1.13851;1.13865;2189
20181129;154500;1.13865;1.13866;1.13701;1.13713;1477
20181129;160000;1.13713;1.13755;1.13653;1.13740;1303
20181129;161500;1.13740;1.13793;1.13674;1.13710;1024
20181129;163000;1.13710;1.13782;1.13687;1.13760;1480
20181129;164500;1.13760;1.13859;1.13756;1.13836;1128
20181129;170000;1.13836;1.13850;1.13641;1.13687;1420
20181129;171500;1.13688;1.13786;1.13680;1.13780;1037
20181129;173000;1.13784;1.13852;1.13691;1.13753;2360
20181129;174500;1.13752;1.13861;1.13735;1.13860;1726
20181129;180000;1.13860;1.13962;1.13846;1.13916;1220
20181129;181500;1.13916;1.13973;1.13783;1.13787;1784
20181129;183000;1.13787;1.13838;1.13747;1.13820;1150
20181129;184500;1.13818;1.13863;1.13807;1.13817;848
20181129;190000;1.13817;1.13832;1.13766;1.13766;545
20181129;191500;1.13767;1.13793;1.13761;1.13770;296
20181129;193000;1.13770;1.13774;1.13708;1.13715;549
20181129;194500;1.13714;1.13765;1.13631;1.13721;693
20181129;200000;1.13722;1.13768;1.13685;1.13700;780
20181129;201500;1.13700;1.13792;1.13693;1.13766;441
